member_casual,day_of_week,ride_count,mean_duration
casual,Sun,18578,40.8571688735781
casual,Mon,6672,28.7458907873701
casual,Tue,7949,32.6103325365874
casual,Wed,8328,37.7984650176113
casual,Thu,7729,32.4273946608013
casual,Fri,8466,34.9575242145051
casual,Sat,13416,38.9456817730074
member,Sun,60178,12.9207899896972
member,Mon,110412,11.1047765037617
member,Tue,127946,11.3238161672372
member,Wed,121879,11.1702762575998
member,Thu,125198,11.0691241074139
member,Fri,115132,11.1012533439878
member,Sat,59381,12.4356365391848
